Epoch,Train_Loss,Train_Acc,Val_Loss,Val_Acc
1,0.6915,0.5064,0.7188,0.4250
2,0.6642,0.6218,0.7107,0.4500
3,0.6589,0.6218,0.7260,0.3500
4,0.6436,0.6667,0.7133,0.4500
5,0.6278,0.7244,0.7024,0.5000
6,0.6264,0.7308,0.6811,0.5500
7,0.6302,0.7115,0.6909,0.5750
8,0.6094,0.7628,0.6733,0.5750
9,0.6208,0.7372,0.6754,0.6250
10,0.5887,0.7756,0.6687,0.5750
11,0.5919,0.7564,0.6687,0.6000
12,0.5758,0.7564,0.6406,0.6250
13,0.5569,0.7628,0.6588,0.6000
14,0.5841,0.7628,0.6512,0.5750
15,0.5631,0.7628,0.6432,0.6000
